epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.055,1.6354,2.02163,1.66647,0.69003,0.60828,0.64725,0.36114,1.26436,0.82798,1.4628,0.00332378,0.00332378,0.00332378
2,277.913,1.39299,1.20215,1.39433,0.43934,0.45059,0.37309,0.19651,1.3765,1.30916,1.34251,0.00661318,0.00661318,0.00661318
3,412.778,1.40579,1.24742,1.38689,0.47298,0.5387,0.50631,0.28285,1.3355,1.14745,1.41542,0.00985857,0.00985857,0.00985857
4,545.441,1.41989,1.27111,1.40727,0.51248,0.57286,0.50935,0.28838,1.24158,0.96186,1.37061,0.009802,0.009802,0.009802
5,677.945,1.38184,1.21686,1.39339,0.65045,0.59601,0.63303,0.37221,1.15425,0.913,1.30577,0.009736,0.009736,0.009736
6,808.913,1.3374,1.13318,1.36883,0.77357,0.56229,0.68235,0.42201,1.12703,0.80061,1.27116,0.00967,0.00967,0.00967
7,938.81,1.32581,1.09808,1.35872,0.63206,0.68748,0.69378,0.41045,1.06136,0.75259,1.2248,0.009604,0.009604,0.009604
8,1068.13,1.29225,1.05786,1.33989,0.69449,0.63824,0.69365,0.42701,1.04998,0.78969,1.24123,0.009538,0.009538,0.009538
9,1198.94,1.25609,1.01777,1.31901,0.62712,0.5964,0.61515,0.37038,1.14346,0.99372,1.29964,0.009472,0.009472,0.009472
10,1328.91,1.25597,0.99769,1.30775,0.72603,0.69894,0.75324,0.45131,1.01719,0.67882,1.21041,0.009406,0.009406,0.009406
11,1458.56,1.24715,0.99396,1.31492,0.77388,0.73808,0.7762,0.47576,1.00405,0.63778,1.19371,0.00934,0.00934,0.00934
12,1588.35,1.22769,0.96899,1.2947,0.74708,0.76011,0.78182,0.47523,1.02872,0.63091,1.21112,0.009274,0.009274,0.009274
13,1718.35,1.20533,0.92534,1.28086,0.72297,0.71343,0.75219,0.46949,0.95519,0.632,1.18073,0.009208,0.009208,0.009208
14,1847.78,1.19766,0.90641,1.27739,0.7249,0.69309,0.74306,0.44946,1.0497,0.62604,1.22539,0.009142,0.009142,0.009142
15,1977.16,1.18013,0.89205,1.26399,0.76476,0.7463,0.79185,0.50645,0.95129,0.60296,1.16041,0.009076,0.009076,0.009076
16,2106.39,1.16783,0.87715,1.2513,0.73122,0.75402,0.79308,0.5011,0.94365,0.59393,1.16106,0.00901,0.00901,0.00901
17,2236.46,1.16246,0.8728,1.25428,0.77102,0.78526,0.81059,0.51829,0.94959,0.57024,1.16837,0.008944,0.008944,0.008944
18,2365.71,1.14976,0.84957,1.25152,0.76299,0.75968,0.80438,0.51732,0.91741,0.54848,1.16098,0.008878,0.008878,0.008878
19,2495.21,1.14635,0.84138,1.24268,0.77689,0.75544,0.79018,0.50748,0.91293,0.54939,1.1611,0.008812,0.008812,0.008812
20,2624.6,1.15188,0.84492,1.24782,0.80952,0.76668,0.81985,0.52589,0.90845,0.51938,1.15767,0.008746,0.008746,0.008746
21,2756.11,1.1412,0.82781,1.24126,0.80133,0.77881,0.80988,0.51932,0.90692,0.53754,1.14571,0.00868,0.00868,0.00868
22,2885.29,1.11816,0.80838,1.22609,0.80897,0.78049,0.8174,0.52625,0.90928,0.53009,1.14687,0.008614,0.008614,0.008614
23,3014.23,1.1286,0.80385,1.22311,0.76258,0.77345,0.81658,0.53345,0.88799,0.52172,1.1444,0.008548,0.008548,0.008548
24,3144.29,1.10698,0.78887,1.21974,0.84222,0.78308,0.83465,0.53788,0.89338,0.50802,1.13308,0.008482,0.008482,0.008482
25,3272.42,1.08344,0.76882,1.20341,0.80316,0.79073,0.83508,0.54736,0.87882,0.4909,1.13296,0.008416,0.008416,0.008416
26,3401.24,1.10062,0.78115,1.21717,0.80959,0.79399,0.82182,0.52805,0.88192,0.5041,1.11637,0.00835,0.00835,0.00835
27,3530.68,1.08767,0.77199,1.20416,0.83912,0.80243,0.84343,0.53909,0.89016,0.50378,1.13559,0.008284,0.008284,0.008284
